"n","m","Power","Speed","Spotsize","Peclet","HannDensity","HannDensity100%","HannThreshold","Keyhole?","FabbroRatio","DThreshold","DThreshold100"
40,2,350,0.7000000000000001,160,1.3745454545454547,12.848496448054288,32.12124112013572,43.68337859418765,"False",0.2941278092845104,-30.834882146133364,-11.56213747405193
41,1,200,0.9,100,1.1045454545454545,13.104546595537768,32.761366488844416,42.02394366053248,"False",0.3118352409139824,-28.919397064994712,-9.262577171688065
41,2,400,1.3000000000000003,140,2.233636363636364,13.164656147482605,32.911640368706514,48.5925473268085,"False",0.2709192432111841,-35.4278911793259,-15.680906958101986
42,1,350,1.5000000000000002,120,2.2090909090909094,13.513374236366435,33.783435590916085,48.460271171641345,"False",0.2788546970466476,-34.94689693527491,-14.67683558072526
42,2,300,0.7000000000000001,140,1.2027272727272729,13.4553016845624,33.638254211406,42.63246537297406,"False",0.31561162524492664,-29.17716368841166,-8.99421116156806
43,1,400,1.9000000000000001,120,2.7981818181818183,13.722226394829066,34.30556598707267,51.520041271431026,"False",0.26634734864698845,-37.79781487660196,-17.214475284358357
43,2,400,1.2000000000000002,140,2.061818181818182,13.702208548438673,34.255521371096684,47.657206065522594,"False",0.28751598508733134,-33.954997517083925,-13.40168469442591
44,1,500,1.2000000000000002,160,2.3563636363636364,14.018858937995244,35.04714734498811,49.247398022386534,"False",0.2846619212577008,-35.22853908439129,-14.200250677398422
44,2,500,1.8000000000000003,140,3.0927272727272728,13.984758038698546,34.96189509674637,52.96783030640668,"False",0.2640236150470945,-38.98307226770814,-18.005935209660315
45,1,400,1.1,140,1.89,14.311490073169974,35.77872518292494,46.699277031573565,"False",0.30646063457243505,-32.387786958403595,-10.920551848648628
45,2,450,1.4000000000000001,140,2.4054545454545457,14.27150259609727,35.678756490243174,49.50635097692085,"False",0.2882761971842854,-35.23484838082358,-13.827594486677675
46,1,350,1.3000000000000003,120,1.9145454545454548,14.515692433684901,36.289231084212254,46.8375433972645,"False",0.30991575093011126,-32.32185096357959,-10.548312313052243
46,2,200,1.4000000000000001,80,1.3745454545454547,14.683995940633473,36.709989851583686,43.68337859418765,"False",0.33614606775372613,-28.99938265355418,-6.973388742603966
47,1,650,1.8000000000000003,160,3.534545454545455,14.88025550879557,37.20063877198892,55.05049328440661,"False",0.2703019468312466,-40.17023777561104,-17.849854512417693
47,2,100,0.1,120,0.14727272727272728,14.953449533861592,37.38362383465398,39.16083184242035,"False",0.38184708624252234,-24.207382308558756,-1.7772080077663688
48,1,500,1.5000000000000002,140,2.5772727272727276,15.319534878093796,38.29883719523449,50.399715853218694,"False",0.3039607390388777,-35.0801809751249,-12.100878657984204
48,2,700,2.,160,3.927272727272727,15.202546015912237,38.00636503978059,56.82189333233145,"False",0.2675473329795234,-41.61934731641921,-18.81552829255086
49,1,700,1.9000000000000001,160,3.7309090909090905,15.59748310890436,38.9937077722609,55.944998777859375,"False",0.2788003119070078,-40.34751566895501,-16.951291005598478
49,2,450,1.9000000000000001,120,2.7981818181818183,15.4375046941827,38.59376173545675,51.520041271431026,"False",0.2996407672278619,-36.08253657724833,-12.926279535974274
50,1,600,2.,140,3.436363636363636,15.920527654309165,39.801319135772914,54.59630940630103,"False",0.2916044660790159,-38.67578175199186,-14.794990270528118
50,2,350,1.9000000000000001,100,2.3318181818181816,15.78354316484541,39.45885791211352,49.117287850924406,"False",0.3213439474253944,-33.333744686078994,-9.658429938810883
51,1,550,1.1,160,2.1599999999999997,16.10644268045865,40.266106701146626,48.194387320885205,"False",0.33419747766933156,-32.08794464042656,-7.92828061973858
51,2,500,0.9,160,1.767272727272727,16.18758396316589,40.46895990791472,46.00070901047606,"False",0.35189857529107604,-29.81312504731017,-5.531749102561335
52,1,550,1.6,140,2.749090909090909,16.316383449987757,40.79095862496939,51.27372964220172,"False",0.31822111564434125,-34.95734619221396,-10.48277101723233
52,2,500,1.3000000000000003,140,2.233636363636364,16.455820184353257,41.13955046088314,48.5925473268085,"False",0.3386490540139801,-32.13672714245524,-7.452996865925357
53,1,500,2.,120,2.9454545454545453,16.71846482791353,41.79616206978382,52.25024628859281,"False",0.319969110491322,-35.531781460679284,-10.454084218808994
53,2,250,0.5,120,0.7363636363636363,16.71846482791353,41.79616206978382,39.74092349102772,"False",0.42068636959803046,-23.022458663114193,2.0552385787560965
54,1,450,1.,140,1.718181818181818,16.886269596644954,42.215673991612384,45.71787205425628,"False",0.369358170839731,-28.83160245761133,-3.502198062643899
54,2,700,1.6,160,3.1418181818181816,16.99696316132418,42.49240790331045,53.20432167120262,"False",0.3194658371243546,-36.20735850987844,-10.71191376789217
55,1,200,1.,80,0.9818181818181817,17.3743383038997,43.435845759749256,41.25841885118509,"False",0.4211101343114279,-23.88408054728539,2.177426908564165
55,2,250,0.8,100,0.9818181818181817,17.374338303899705,43.43584575974926,41.25841885118509,"False",0.4211101343114279,-23.884080547285386,2.177426908564172
56,1,500,1.8000000000000003,120,2.650909090909091,17.622809279207253,44.05702319801813,50.77660055534698,"False",0.34706555945977957,-33.15379127613973,-6.719577357328852
